pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-19,93.8,0.91,5.34,"Cavanaugh, Drew",701852,800048,,foul,,,,,4.0,,R,L,L,CLE,SF,S,,,1,2,2026,0.3,1.44,-0.4089227043693796,2.4802645537834724,,,808982.0,1,7,Top,,,,,,,-4.081997830941182,-136.62237516969444,-4.7946314873129285,4.606695621987772,28.6692788012004,-13.25965186852192,3.203330053,1.616633858,218.0,84.2,53.0,94.8,2270.0,6.7,824394,595978,663993,683953,694197,677587,680757,690984,682657,53.81,,,,,,,,48,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,154.0,0.0,0.0,70.7,6.4,,,0.0,88.0,-1,1,0.316,0.6839999999999999,25,24,26,24,3,2,,,,,1.14,0.3,0.3,,0.01267970730177,3.487873862636554,41.3083199785779,38.71444531018695,26.8718153613025
FF,2026-08-19,94.8,0.62,6.48,"Myers, Dane",667472,669461,field_out,hit_into_play,,,,,2.0,Dane Myers flies out sharply to center fielder Nathan Church.,R,R,L,CIN,STL,X,8.0,fly_ball,3,2,2026,0.57,1.38,-0.1241795004291953,2.745464966108515,,,,1,6,Bot,152.87,53.25,,,,,-3.230465835239936,-137.9158906504717,-7.017019397713512,7.941937508600435,32.052528580025864,-13.235460859894092,3.213861549,1.621948819,367.0,101.6,23.0,95.1,2148.0,6.6,824476,699625,676475,802139,691458,691026,695491,701675,691023,53.92,0.577,0.859,0.0,1.0,0.0,0.0,6.0,48,10,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,157.0,-0.019,-0.343,78.4,6.8,,1.502,0.343,101.6,1,1,0.722,0.722,26,30,27,30,3,2,,,,,1.17,0.57,-0.57,,-12.584903677069594,6.290533144125552,52.14445950394464,35.6585116969036,27.32659322014672
FC,2026-08-19,89.1,2.84,5.49,"Perdomo, Geraldo",672695,801139,,called_strike,,,,,3.0,,R,R,L,BOS,AZ,S,,,1,0,2026,0.01,0.68,0.7153160585933415,2.964880243551194,,672515.0,,2,5,Top,,,,,,,-5.246323075450016,-129.77826339141444,-1.5562484335612847,1.1096838481276168,23.383243976463945,-24.30207440925688,3.31742126,1.674212598,,,,90.9,2202.0,7.0,824722,657136,575929,686765,702332,655316,680776,678882,677800,53.47,,,,,,,,37,2,Cutter,2,3,3,2,3,2,3,2,Standard,Standard,156.0,0.003,-0.045,,,,,0.045,,-1,1,0.377,0.623,23,26,24,27,3,2,,,,,2.15,0.01,-0.01,,,,,,
FF,2026-08-19,92.5,1.01,5.44,"Cavanaugh, Drew",701852,800048,,swinging_strike,,,,,11.0,,R,L,L,CLE,SF,S,,,1,1,2026,0.2,1.37,-0.1332972658213014,3.6697497891550506,,,808982.0,1,7,Top,,,,,,,-3.3263709102651458,-134.66068431817376,-1.6189119973978012,3.158944337454423,29.051653976128023,-15.307737843410038,3.203330053,1.616633858,,,,92.9,2245.0,6.5,824394,595978,663993,683953,694197,677587,680757,690984,682657,54.01,,,,,,,,48,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,154.0,0.008,-0.068,58.5,4.9,0.581355084,,0.068,,-1,1,0.308,0.692,25,24,26,24,3,2,,,,,1.29,0.2,0.2,,-9.267492569510567,30.18614244661057,29.810343870095227,37.304919721862426,10.02969203910547
SI,2026-08-19,94.7,0.67,6.45,"Myers, Dane",667472,669461,,foul,,,,,3.0,,R,R,L,CIN,STL,S,,,3,2,2026,1.11,1.14,0.5992907911922856,3.1855476114467782,,,,1,6,Bot,,,,,,,-2.7303183698489,-137.76658046789677,-5.218927375318595,14.722311853902353,33.21927449466094,-16.68455434068414,3.213861549,1.621948819,252.0,78.7,32.0,94.8,2089.0,6.6,824476,699625,676475,802139,691458,691026,695491,701675,691023,53.92,,,,,,,,48,9,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,154.0,0.0,0.0,71.8,6.5,,,0.0,88.0,1,1,0.722,0.722,26,30,27,30,3,2,,,,,1.42,1.11,-1.11,,1.3764259914568755,23.52977791862122,24.22379863417567,45.18247756735779,17.75374786654312
FF,2026-08-19,96.4,2.74,5.48,"Perdomo, Geraldo",672695,801139,,ball,,,,,11.0,,R,R,L,BOS,AZ,B,,,0,0,2026,0.52,1.4,-1.2735449789855773,3.0101724123485534,,672515.0,,2,5,Top,,,,,,,-12.047272697741336,-139.9828611823635,-4.1740447599917045,9.37080415208428,29.39715975652744,-12.884221516065718,3.31742126,1.674212598,,,,99.4,2226.0,7.9,824722,657136,575929,686765,702332,655316,680776,678882,677800,52.62,,,,,,,,37,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,140.0,-0.001,0.024,,,,,-0.024,,-1,1,0.378,0.622,23,26,24,27,3,2,,,,,1.05,0.52,-0.52,,,,,,
SI,2026-08-19,91.7,1.1,5.35,"Cavanaugh, Drew",701852,800048,,ball,,,,,14.0,,R,L,L,CLE,SF,B,,,0,1,2026,1.15,0.72,0.0076134033389712,1.1652791638144904,,,808982.0,1,7,Top,,,,,,,-5.300753385791381,-133.42790311547824,-6.109697796313767,14.900673148302518,28.096460251710457,-22.496653463072803,3.203330053,1.616633858,,,,92.3,1995.0,6.6,824394,595978,663993,683953,694197,677587,680757,690984,682657,53.9,,,,,,,,48,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,143.0,-0.003,0.029,,,,,-0.029,,-1,1,0.311,0.6890000000000001,25,24,26,24,3,2,,,,,1.99,1.15,1.15,,,,,,
CU,2026-08-19,77.2,0.84,6.52,"Myers, Dane",667472,669461,,ball,,,,,12.0,,R,R,L,CIN,STL,B,,,2,2,2026,-0.9,-1.31,0.9108147361141968,4.131169102434668,,,,1,6,Bot,,,,,,,1.8283451900572223,-112.10636991835835,4.624431029760271,-7.906501697425751,23.384620050494043,-44.27224223346494,3.213861549,1.621948819,,,,76.6,2906.0,6.3,824476,699625,676475,802139,691458,691026,695491,701675,691023,54.2,,,,,,,,48,8,Curveball,3,2,3,2,2,3,3,2,Standard,Standard,320.0,0.005,0.108,,,,,-0.108,,1,1,0.717,0.717,26,30,27,30,3,2,,,,,5.19,-0.9,0.9,,,,,,
FF,2026-08-19,93.2,1.07,5.36,"Cavanaugh, Drew",701852,800048,,foul,,,,,4.0,,R,L,L,CLE,SF,S,,,0,0,2026,0.36,1.43,-0.6718994402407027,2.2600708118312265,,,808982.0,1,7,Top,,,,,,,-5.240163121200872,-135.60687471412825,-5.238644156103233,5.579074253427067,28.31817770993236,-13.515572471111046,3.203330053,1.616633858,,,,93.8,2169.0,6.5,824394,595978,663993,683953,694197,677587,680757,690984,682657,53.95,,,,,,,,48,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,153.0,0.005,-0.04,72.9,6.7,,,0.04,,-1,1,0.306,0.694,25,24,26,24,3,2,,,,,1.18,0.36,0.36,,1.1667378213970978,9.279664827606442,41.37357622786196,43.41465680732268,22.853273535599747
SI,2026-08-19,96.7,2.49,5.37,"Moreno, Gabriel",672515,801139,double,hit_into_play,,,,,7.0,Gabriel Moreno doubles (26) on a line drive to center fielder Ceddanne Rafaela. Ryan Waldschmidt scores. Corbin Carroll scores.,R,R,L,BOS,AZ,X,8.0,line_drive,2,2,2026,1.29,0.97,-0.5512202077338535,1.8877310084178256,,814439.0,682998.0,2,5,Top,110.42,50.45,,,,,-11.280611107466449,-140.3749727777595,-5.85667902757508,19.645203049834556,31.633767127021414,-18.185256879147303,3.071686352,1.55019685,372.0,104.5,19.0,99.0,2392.0,7.7,824722,657136,575929,686765,702332,655316,680776,678882,677800,52.82,0.5,0.63,1.25,1.0,1.0,1.0,5.0,36,7,Sinker,2,1,1,2,3,2,3,2,Standard,Standard,138.0,-0.276,1.032,74.2,6.8,,1.013,-1.032,104.5,1,-1,0.654,0.346,23,26,24,26,3,2,,,,,1.48,1.29,-1.29,,2.909138529271704,2.344146918218126,40.73945966263486,27.12597617246248,37.52966914974596
CU,2026-08-19,85.8,2.59,5.51,"Moreno, Gabriel",672515,801139,,blocked_ball,,,,,13.0,,R,R,L,BOS,AZ,B,,,1,2,2026,-0.46,-0.39,-1.6604304561418228,0.187118185254894,,814439.0,682998.0,2,5,Top,,,,,,,-9.14679243080026,-124.66436409047849,-5.364766120564766,-3.125667230933248,23.5704102437416,-35.39851820302321,3.071686352,1.55019685,,,,87.7,2478.0,7.5,824722,657136,575929,686765,702332,655316,680776,678882,677800,53.05,,,,,,,,36,6,Curveball,2,1,1,2,1,2,1,2,Standard,Standard,285.0,-0.01,0.016,,,,,-0.016,,1,-1,0.664,0.3359999999999999,23,26,24,26,3,2,,,,,3.48,-0.46,0.46,,,,,,
CH,2026-08-19,83.9,1.4,5.32,"Basabe, Osleivis",678545,800048,field_out,hit_into_play,,,,,5.0,Osleivis Basabe flies out to center fielder Petey Halpin.,R,R,L,CLE,SF,X,8.0,fly_ball,0,1,2026,1.2,0.3,0.1481498693821636,2.106599365990737,,,808982.0,0,7,Top,137.91,95.23,,,,,-5.2631359595036,-122.1290378919514,-1.4041077897569216,13.002831737591343,24.42482407099108,-29.14939342665426,3.18402231,1.606889764,262.0,78.5,44.0,84.0,1697.0,6.3,824394,595978,663993,683953,694197,677587,680757,690984,682657,54.15,0.06,0.073,0.0,1.0,0.0,0.0,3.0,47,2,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,112.0,0.031,-0.21,84.7,7.5,,0.094,0.21,88.0,-1,1,0.275,0.725,25,25,26,26,3,2,,,,,2.94,1.2,-1.2,,4.562971764094938,-5.246469215389612,27.35097929228917,39.86497647287881,28.696379852094445
FF,2026-08-19,94.9,0.6,6.45,"Myers, Dane",667472,669461,,foul,,,,,13.0,,R,R,L,CIN,STL,S,,,2,2,2026,0.75,1.27,-0.4911196340849052,1.2690709297485587,,,,1,6,Bot,,,,,,,-4.551679706518768,-137.83025765961352,-10.517169334906631,10.57916848468045,30.570710273301657,-13.875058585007332,3.213861549,1.621948819,210.0,78.8,55.0,95.2,2135.0,6.6,824476,699625,676475,802139,691458,691026,695491,701675,691023,53.95,,,,,,,,48,7,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,151.0,0.0,0.0,59.9,7.2,,,0.0,88.0,1,1,0.717,0.717,26,30,27,30,3,2,,,,,1.27,0.75,-0.75,,5.11590346464152,6.555745102067476,45.65313967723935,31.946608890272795,27.65978268505514
FF,2026-08-19,98.5,2.68,5.53,"Moreno, Gabriel",672515,801139,,foul,,,,,1.0,,R,R,L,BOS,AZ,S,,,1,2,2026,0.8,1.39,-0.4141658694404806,2.8115827132021,,814439.0,682998.0,2,5,Top,,,,,,,-10.404318552313876,-143.02608781901125,-5.12621229551429,13.30967393574134,32.31078988077057,-12.06902254447874,3.071686352,1.55019685,,,,100.8,2305.0,7.6,824722,657136,575929,686765,702332,655316,680776,678882,677800,52.91,,,,,,,,36,5,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,142.0,0.0,0.0,70.2,6.0,,,0.0,,1,-1,0.664,0.3359999999999999,23,26,24,26,3,2,,,,,0.97,0.8,-0.8,,-0.9118228593116792,15.001951127117229,38.06662223970015,28.597479362981503,26.136296832910656
CH,2026-08-19,88.2,1.12,6.32,"Myers, Dane",667472,669461,,ball,,,,,12.0,,R,R,L,CIN,STL,B,,,1,2,2026,1.16,1.07,1.842585578476914,3.925063250206589,,,,1,6,Bot,,,,,,,-0.7063134119723116,-128.4861345290685,-1.7828076371685777,12.896900798828316,28.37974235540036,-20.232700448614853,3.213861549,1.621948819,,,,88.1,1661.0,6.3,824476,699625,676475,802139,691458,691026,695491,701675,691023,54.21,,,,,,,,48,6,Changeup,3,2,3,2,2,3,3,2,Standard,Standard,133.0,0.003,0.053,,,,,-0.053,,1,1,0.714,0.714,26,30,27,30,3,2,,,,,1.87,1.16,-1.16,,,,,,
